PlayerID,Name,College,Draft_Year,Age,Height,Weight,Draft_Decade
309945,Jeremy Lin,Harvard,Undrafted,29.0,190.5,90.7184,Undrafted
309946,Jaylen Brown,California,2016,21.0,200.66,102.0582,2010s
309947,Joel Embiid,Kansas,2014,24.0,213.36,113.398,2010s
309948,John Collins,Wake Forest,2017,20.0,208.28,106.59411999999999,2010s
309949,Josh Hart,Villanova,2017,23.0,195.58,97.52228000000001,2010s
309950,Josh Gray,None,Undrafted,24.0,185.42,81.64656,Undrafted
309951,Jose Calderon,None,Undrafted,36.0,190.5,90.7184,Undrafted
309952,Jordan Mickey,Louisiana State,2015,23.0,203.2,106.59411999999999,2010s
309953,Jordan Crawford,Xavier,2010,29.0,195.58,88.45044,2010s
309954,Jordan Clarkson,Missouri,2014,26.0,195.58,87.996848,2010s
309955,Jordan Bell,Oregon,2017,23.0,205.74,101.604608,2010s
309956,Jonathon Simmons,Houston,Undrafted,28.0,198.12,88.45044,Undrafted
309957,Joffrey Lauvergne,None,2013,26.0,210.82,117.93392,2010s
309958,Jonathan Isaac,Florida State,2017,20.0,208.28,95.25432,2010s
309959,Jonas Valanciunas,None,2011,26.0,213.36,115.66596000000001,2010s
309960,Jonas Jerebko,None,2009,31.0,208.28,104.779752,2000s
309961,Jon Leuer,Wisconsin,2011,29.0,208.28,103.418976,2010s
309962,Johnny O'Bryant III,Louisiana State,2014,25.0,205.74,116.573144,2010s
309963,Johnathan Motley,Baylor,Undrafted,23.0,208.28,104.32616,Undrafted
309964,John Wall,Kentucky,2010,27.0,193.04,95.25432,2010s
309965,John Holland,Boston U.,Undrafted,29.0,195.58,92.98635999999999,Undrafted
309966,John Henson,North Carolina,2012,27.0,210.82,103.872568,2010s
309967,Jonathan Gibson,New Mexico State,Undrafted,30.0,187.96,83.91452,Undrafted
309968,Josh Huestis,Stanford,2014,26.0,200.66,104.32616,2010s
309969,Jawun Evans,Oklahoma State,2017,21.0,182.88,86.18248,2010s
309970,Jason Smith,Colorado State,2007,32.0,213.36,108.86208,2000s
309971,Jacob Pullen,Kansas State,Undrafted,28.0,185.42,90.7184,Undrafted
309972,Jack Cooley,Notre Dame,Undrafted,27.0,208.28,124.284208,Undrafted
309973,Jabari Parker,Duke,2014,23.0,203.2,113.398,2010s
309974,Jabari Bird,California,2017,23.0,198.12,89.811216,2010s
309975,JaVale McGee,Nevada-Reno,2008,30.0,213.36,122.46983999999999,2000s
309976,JaMychal Green,Alabama,Undrafted,28.0,205.74,102.965384,Undrafted
309977,JaKarr Sampson,"St. John's, N.Y.",Undrafted,25.0,205.74,93.89354399999999,Undrafted
309978,JR Smith,None,2004,32.0,198.12,102.0582,2000s
309979,Jacob Wiley,Eastern Washington,Undrafted,23.0,203.2,101.151016,Undrafted
309980,JJ Redick,Duke,2006,34.0,193.04,90.7184,2000s
309981,Ivica Zubac,None,2016,21.0,215.9,108.86208,2010s
309982,Ivan Rabb,"University of California, Berkeley",2017,21.0,208.28,99.79024,2010s
